"","Team","FBS","ELO"
"168","South Dakota State",0,1563.75130920556
"169","Southern Mississippi",1,1229.10988832893
"170","South Carolina",1,1585.65589687535
"171","Virginia",1,1679.02614777245
"172","Southern",0,1182.79184783817
"173","Virginia Tech",1,1622.77135751881
"174","St. Cloud State",0,1139.09347886685
"175","St Francis (PA)",0,1046.50238929869
"176","St. John's",0,995.590123510108
"177","UCLA",1,1631.7324643711
"178","St. Mary's (CA)",0,1069.85751213036
"179","Stephen F Austin",0,1092.78663784777
"180","Stony Brook",0,1243.12754528884
"181","Missouri State",0,1257.54909785643
"182","Tarleton State",0,1117.98231449213
"183","TCU",1,1663.18424347493
"184","Tennessee-Martin",0,1205.77031136616
"185","Tennessee",1,1646.549351955
"186","Tennessee State",0,980.187190101938
"187","Tennessee Tech",0,959.192076588875
"188","UT San Antonio",1,1439.13995950133
"189","UTEP",1,1207.98963572405
"190","Washington",1,1735.18254909059
"191","Texas Southern",0,731.97709651326
"192","Texas Tech",1,1573.41290043014
"193","Citadel",0,1084.22099738881
"194","Toledo",1,1410.80681059375
"195","Washington State",1,1675.52771789544
"196","Troy",1,1370.24596413586
"197","Tulane",1,1402.26865475853
"198","Valparaiso",0,909.906492166933
"199","Virginia Military Institute",0,1135.06398750468
"200","Wagner",0,899.277171378196
"201","Weber State",0,1438.48786065652
"202","Montana-Western",0,1051.60877391065
"203","Western Illinois",0,1149.83522630245
"204","Western Michigan",1,1471.68627188643
"205","Western Carolina",0,935.078017662112
"206","William & Mary",0,1296.03618590477
"207","Wofford",0,1240.93014075218
"208","Wisconsin",1,1821.18659842307
"209","Wyoming",1,1426.15873749882
"210","Youngstown State",0,1225.02325511669
"211","Grambling",0,1066.04920277226
"212","Marshall",1,1502.96746738404
"213","West Virginia",1,1695.72600372297
"214","Merrimack",0,1022.16594869888
"215","Fresno State",1,1542.62024001786
"216","Bryant",0,1077.09300384933
"217","Indiana State",0,1245.90008128175
"218","Georgia Southern",1,1343.80069156377
"219","Incarnate Word",0,1174.47076473283
"220","Jacksonville",0,894.028621811949
"221","Old Dominion",1,1174.62150050041
"222","USC",1,1758.01040508506
"223","San Diego",0,1192.43560632402
"224","UC Davis",0,1359.37626030779
"225","Idaho State",0,1058.34500862996
"226","Louisiana",1,1641.49783702465
"227","Dixie State",0,1021.75216488631
"228","Maine",0,1321.29667092685
"229","Iona",0,987.090327078894
"230","Lafayette",0,1086.55009237736
"231","Coastal Carolina",1,1523.55357041806
"232","Texas State",1,1132.08670638254
"233","Utah State",1,1523.90097794227
"234","Eastern Washington",0,1462.546570859
"235","Alabama",1,2199.03884922883
"236","Kennesaw State",0,1408.68240598774
"237","Mississippi State",1,1740.71848854246
"238","Army",1,1506.42652397307
