"","Date","Season","Team","Opponent","Team_FBS","Opp_FBS","Neutral_Location","Home","game_id","ELO","Opp_ELO"
"48",2021-11-20,2021,"Michigan","Maryland",1,1,FALSE,0,401282770,1846.95960449949,1522.06754262631
"49",2021-11-20,2021,"Ohio State","Michigan State",1,1,FALSE,1,401282786,2112.71937446385,1759.65683132067
"50",2021-11-20,2021,"Michigan State","Ohio State",1,1,FALSE,0,401282786,1759.65683132067,2112.71937446385
"51",2021-11-20,2021,"Wisconsin","Nebraska",1,1,FALSE,1,401282803,1835.63314189956,1523.76532656396
"52",2021-11-20,2021,"Nebraska","Wisconsin",1,1,FALSE,0,401282803,1523.76532656396,1835.63314189956
"53",2021-11-20,2021,"Penn State","Rutgers",1,1,FALSE,1,401282818,1784.49259349224,1465.69321261719
"54",2021-11-20,2021,"Rutgers","Penn State",1,1,FALSE,0,401282818,1465.69321261719,1784.49259349224
"55",2021-11-20,2021,"UCF","Connecticut",1,1,FALSE,1,401286293,1659.12832670073,1153.7800568009
"56",2021-11-20,2021,"Connecticut","UCF",1,1,FALSE,0,401286293,1153.7800568009,1659.12832670073
"57",2021-11-20,2021,"Liberty","Louisiana",1,1,FALSE,1,401286298,1514.40951275864,1656.81689215388
"58",2021-11-20,2021,"Louisiana","Liberty",1,1,FALSE,0,401286298,1656.81689215388,1514.40951275864
"59",2021-11-20,2021,"Army","UMass",1,1,FALSE,1,401286305,1533.71163907315,1090.76576978004
"60",2021-11-20,2021,"UMass","Army",1,1,FALSE,0,401286305,1090.76576978004,1533.71163907315
"61",2021-11-20,2021,"Kansas State","Baylor",1,1,FALSE,1,401287943,1720.02575549222,1749.0738193342
"62",2021-11-20,2021,"Baylor","Kansas State",1,1,FALSE,0,401287943,1749.0738193342,1720.02575549222
"63",2021-11-20,2021,"Oklahoma","Iowa State",1,1,FALSE,1,401287944,2015.3087065641,1770.19848655478
"64",2021-11-20,2021,"Iowa State","Oklahoma",1,1,FALSE,0,401287944,1770.19848655478,2015.3087065641
"65",2021-11-20,2021,"TCU","Kansas",1,1,FALSE,1,401287945,1676.48052580664,1302.30114827191
"66",2021-11-20,2021,"Kansas","TCU",1,1,FALSE,0,401287945,1302.30114827191,1676.48052580664
"67",2021-11-20,2021,"West Virginia","Texas",1,1,FALSE,1,401287947,1664.80017572884,1711.40829688404
"68",2021-11-20,2021,"Texas","West Virginia",1,1,FALSE,0,401287947,1711.40829688404,1664.80017572884
"69",2021-11-20,2021,"Houston","Memphis",1,1,FALSE,1,401301045,1591.18262881166,1606.42415438971
"70",2021-11-20,2021,"Memphis","Houston",1,1,FALSE,0,401301045,1606.42415438971,1591.18262881166
"71",2021-11-20,2021,"Cincinnati","SMU",1,1,FALSE,1,401301046,1836.42603436041,1612.42866728088
"72",2021-11-20,2021,"SMU","Cincinnati",1,1,FALSE,0,401301046,1612.42866728088,1836.42603436041
"73",2021-11-20,2021,"Navy","East Carolina",1,1,FALSE,1,401301047,1466.79274025746,1455.949935985
"74",2021-11-20,2021,"East Carolina","Navy",1,1,FALSE,0,401301047,1455.949935985,1466.79274025746
"75",2021-11-20,2021,"Tulane","South Florida",1,1,FALSE,1,401301048,1379.7461883326,1353.75705040975
"76",2021-11-20,2021,"South Florida","Tulane",1,1,FALSE,0,401301048,1353.75705040975,1379.7461883326
"77",2021-11-20,2021,"Tulsa","Temple",1,1,FALSE,1,401301049,1486.61788350206,1402.24672103503
"78",2021-11-20,2021,"Temple","Tulsa",1,1,FALSE,0,401301049,1402.24672103503,1486.61788350206
"79",2021-11-17,2021,"Miami (OH)","Bowling Green",1,1,FALSE,1,401308841,1395.60454788802,1150.09265036117
"80",2021-11-17,2021,"Bowling Green","Miami (OH)",1,1,FALSE,0,401308841,1150.09265036117,1395.60454788802
"81",2021-11-17,2021,"Eastern Michigan","Western Michigan",1,1,FALSE,1,401309588,1337.77620778796,1451.23775382593
"82",2021-11-17,2021,"Western Michigan","Eastern Michigan",1,1,FALSE,0,401309588,1451.23775382593,1337.77620778796
"83",2021-11-17,2021,"Ohio","Toledo",1,1,FALSE,1,401309589,1359.68389598939,1394.97729786634
"84",2021-11-17,2021,"Toledo","Ohio",1,1,FALSE,0,401309589,1394.97729786634,1359.68389598939
"85",2021-11-18,2021,"Buffalo","Northern Illinois",1,1,FALSE,1,401309590,1375.35071524903,1415.31603601978
"86",2021-11-18,2021,"Northern Illinois","Buffalo",1,1,FALSE,0,401309590,1415.31603601978,1375.35071524903
"87",2021-11-18,2021,"Ball State","Central Michigan",1,1,FALSE,1,401309591,1412.49637249731,1413.71829336152
"88",2021-11-18,2021,"Central Michigan","Ball State",1,1,FALSE,0,401309591,1413.71829336152,1412.49637249731
"89",2021-11-20,2021,"Akron","Kent State",1,1,FALSE,1,401309592,1114.41539683761,1360.49295924274
"90",2021-11-20,2021,"Kent State","Akron",1,1,FALSE,0,401309592,1360.49295924274,1114.41539683761
"91",2021-11-20,2021,"Troy","Appalachian State",1,1,FALSE,1,401309642,1376.79562620634,1650.2696375037
"92",2021-11-20,2021,"Appalachian State","Troy",1,1,FALSE,0,401309642,1650.2696375037,1376.79562620634
"93",2021-11-20,2021,"Georgia State","Arkansas State",1,1,FALSE,1,401309643,1425.29128364532,1307.64940289766
"94",2021-11-20,2021,"Arkansas State","Georgia State",1,1,FALSE,0,401309643,1307.64940289766,1425.29128364532
"95",2021-11-20,2021,"Coastal Carolina","Texas State",1,1,FALSE,1,401309644,1506.57772370457,1147.28555730329
"96",2021-11-20,2021,"Texas State","Coastal Carolina",1,1,FALSE,0,401309644,1147.28555730329,1506.57772370457
"97",2021-11-20,2021,"Georgia Southern","BYU",1,1,FALSE,1,401309645,1343.99823110449,1736.72472658785
"98",2021-11-20,2021,"BYU","Georgia Southern",1,1,FALSE,0,401309645,1736.72472658785,1343.99823110449
"99",2021-11-20,2021,"Washington State","Arizona",1,1,FALSE,1,401309899,1665.80663364833,1409.99159008968
"100",2021-11-20,2021,"Arizona","Washington State",1,1,FALSE,0,401309899,1409.99159008968,1665.80663364833
"101",2021-11-21,2021,"Utah","Oregon",1,1,FALSE,1,401309901,1798.47104956853,1882.61904721339
"102",2021-11-21,2021,"Oregon","Utah",1,1,FALSE,0,401309901,1882.61904721339,1798.47104956853
"103",2021-11-21,2021,"Oregon State","Arizona State",1,1,FALSE,1,401309902,1566.04671596761,1723.91281571594
"104",2021-11-21,2021,"Arizona State","Oregon State",1,1,FALSE,0,401309902,1723.91281571594,1566.04671596761
"105",2021-11-20,2021,"USC","UCLA",1,1,FALSE,1,401309904,NA,1648.69137652379
"106",2021-11-20,2021,"UCLA","USC",1,1,FALSE,0,401309904,1648.69137652379,NA
"107",2021-11-20,2021,"Nevada","Air Force",1,1,FALSE,1,401310747,1555.69606507802,1586.92421868278
"108",2021-11-20,2021,"Air Force","Nevada",1,1,FALSE,0,401310747,1586.92421868278,1555.69606507802
"109",2021-11-21,2021,"Boise State","New Mexico",1,1,FALSE,1,401310748,1699.67280304129,1226.32455318302
"110",2021-11-21,2021,"New Mexico","Boise State",1,1,FALSE,0,401310748,1226.32455318302,1699.67280304129
"111",2021-11-21,2021,"Utah State","Wyoming",1,1,FALSE,1,401310750,1538.12993226977,1434.32925078146
"112",2021-11-21,2021,"Wyoming","Utah State",1,1,FALSE,0,401310750,1434.32925078146,1538.12993226977
"113",2021-11-20,2021,"UNLV","San Diego State",1,1,FALSE,1,401310751,1194.19945792801,1639.67272348608
"114",2021-11-20,2021,"San Diego State","UNLV",1,1,FALSE,0,401310751,1639.67272348608,1194.19945792801
