"","Team","FBS","ELO"
"175","St Francis (PA)",0,1200
"176","St. John's",0,1200
"177","UCLA",1,1605.3291597326
"178","St. Mary's (CA)",0,1200
"179","Stephen F Austin",0,1177.7486105121
"180","Stony Brook",0,1207.21947056966
"181","Missouri State",0,1175.08897941512
"182","Tarleton State",0,1200
"183","TCU",1,1751.77855145139
"184","Tennessee-Martin",0,1149.81553320896
"185","Tennessee",1,1502.1173072703
"186","Tennessee State",0,1195.66653309215
"187","Tennessee Tech",0,1170.22849952738
"188","UT San Antonio",1,1399.19633187352
"189","UTEP",1,1232.99538887447
"190","Washington",1,1650.74687998113
"191","Texas Southern",0,1186.85501110428
"192","Texas Tech",1,1553.47830763992
"193","Citadel",0,1254.75009678109
"194","Toledo",1,1508.427180238
"195","Washington State",1,1462.53208597244
"196","Troy",1,1403.41644928048
"197","Tulane",1,1389.60861989396
"198","Valparaiso",0,1200
"199","Virginia Military Institute",0,1082.82957177504
"200","Wagner",0,1181.78957258476
"201","Weber State",0,1179.03249841686
"202","Montana-Western",0,1200
"203","Western Illinois",0,1205.95358613664
"204","Western Michigan",1,1462.63707667512
"205","Western Carolina",0,1131.61139513484
"206","William & Mary",0,1193.91778484744
"207","Wofford",0,1262.13272518441
"208","Wisconsin",1,1672.92121336153
"209","Wyoming",1,1446.67703093781
"210","Youngstown State",0,1195.12433247406
"211","Grambling",0,1185.64247908908
"212","Marshall",1,1449.8256579314
"213","West Virginia",1,1718.48574124673
"214","Merrimack",0,1200
"215","Fresno State",1,1512.59513270457
"216","Bryant",0,1168.70866910236
"217","Indiana State",0,1218.56777622656
"218","Georgia Southern",1,1402.36032152043
"219","Incarnate Word",0,1200
"220","Jacksonville",0,1190.60070622526
"221","Old Dominion",1,1412.85466445271
"222","USC",1,1772.46666728417
"223","San Diego",0,1200
"224","UC Davis",0,1184.89890177403
"225","Idaho State",0,1171.03297998426
"226","Louisiana",1,1440.83109406147
"227","Dixie State",0,1200
"228","Maine",0,1227.56840711373
"229","Iona",0,1200
"230","Lafayette",0,1167.13498544272
"231","Coastal Carolina",1,1454.24712167728
"232","Texas State",1,1319.96376231747
"233","Utah State",1,1398.4605230932
"234","Eastern Washington",0,1174.5982687733
"235","Alabama",1,2049.79321115437
"236","Kennesaw State",0,1192.75353497565
"237","Mississippi State",1,1528.88602675529
"238","Army",1,1569.52430223278
"239","Illinois",1,1557.67688341993
"240","Colorado State",1,1307.6807706412
"241","Colorado",1,1405.51318745464
"242","Albany",0,1197.42466065169
"243","Connecticut",1,1349.94929652832
"244","Yale",0,1222.22247782547
"245","Georgetown",0,1200
"246","Howard",0,1158.59451647869
"247","Delaware",0,1195.7140181485
"248","UAB",1,1463.62557217543
"249","Florida A&M",0,1187.25728354578
"250","Florida State",1,1652.12529019629
"251","Florida Tech",0,1200
"252","Jacksonville State",0,1223.11390837667
"253","Stetson",0,1200
"254","Montana State-Northern",0,1200
"255","Florida",1,1652.9501071372
"256","South Florida",1,1510.40034782563
"257","Georgia Tech",1,1561.13434007111
"258","South Alabama",1,1421.82055939482
"259","Georgia",1,1851.63590795845
"260","Hawai'i",1,1437.31526594876
"261","Iowa State",1,1518.72104807135
"262","Boise State",1,1643.97083311961
"263","Idaho",0,1142.23043373552
"264","Northwestern",1,1483.19549694406
"265","Southern Illinois",0,1172.90396528172
"266","Arkansas",1,1481.62304442148
"267","Indiana",1,1515.65760411246
"268","Notre Dame",1,1704.18483463708
"269","Arizona State",1,1607.02926257126
"270","Murray State",0,1166.43726873167
"271","Kentucky",1,1532.09922505683
"272","Louisville",1,1569.83763389479
"273","Western Kentucky",1,1489.89219012788
"274","LSU",1,1785.14630469572
"275","Adams State",0,1200
"276","Albany State (GA)",0,1200
"277","Albion",0,1200
"278","Alderson-Broaddus",0,1200
"279","Allen",0,1200
"280","American International",0,1200
"281","Angelo State",0,1200
"282","Apprentice School",0,1200
"283","Arizona Christian",0,1200
"284","Arkansas-Monticello",0,1200
"285","Arkansas Tech",0,1200
"286","Assumption",0,1200
"287","Augustana (SD)",0,1200
"288","Augustana University (SD)",0,1200
"289","Aurora",0,1200
"290","Ave Maria",0,1200
"291","Azusa Pacific",0,1200
"292","Bacone College",0,1200
"293","Baker University",0,1200
"294","Belhaven University",0,1200
"295","Bemidji State",0,1200
"296","Benedict College",0,1200
"297","Bentley",0,1200
"298","Berry College",0,1200
"299","Bethany (KS)",0,1200
"300","Bethel (TN)",0,1200
"301","Birmingham-Southern",0,1200
"302","Black Hills State",0,1200
"303","Bloomsburg",0,1200
"304","Bluefield College",0,1200
"305","Bowie State",0,1200
"306","Brevard College",0,1200
"307","Buffalo State",0,1200
"308","California (PA)",0,1200
"309","Campbellsville",0,1200
"310","Carnegie Mellon",0,1200
"311","Carson-Newman",0,1200
"312","Carthage",0,1200
"313","Catawba",0,1200
"314","Catholic University",0,1200
"315","Central Methodist",0,1200
"316","Central Missouri State",0,1200
"317","Central Oklahoma",0,1200
"318","Central State",0,1200
"319","Central State (OH)",0,1200
"320","Central Washington",0,1200
"321","Centre",0,1200
"322","Chadron State",0,1200
"323","Chapman University",0,1200
"324","Charleston (WV)",0,1200
"325","Cheyney",0,1200
"326","Chowan",0,1200
"327","Clarion",0,1200
"328","Clark Atlanta",0,1200
"329","College of Faith",0,1200
"330","College of Faith - Charlotte",0,1200
"331","College of Idaho",0,1200
"332","College of New Jersey",0,1200
"333","Colorado Mesa",0,1200
"334","Colorado Mines",0,1200
"335","Colorado School of Mines",0,1200
"336","Colorado State-Pueblo",0,1200
"337","Concord",0,1200
"338","Concordia-St. Paul",0,1200
"339","Concordia (AL)",0,1200
"340","Concordia (WI)",0,1200
"341","Concordia College (MI)",0,1200
"342","Culver-Stockton",0,1200
"343","Cumberland",0,1200
"344","Cumberland College",0,1200
"345","Delaware Valley",0,1200
"346","Delta State",0,1200
"347","Doane College",0,1200
"348","East Central",0,1200
"349","East Stroudsburg",0,1200
"350","Eastern New Mexico",0,1200
"351","Eastern Oregon",0,1200
"352","Edinboro",0,1200
"353","Edward Waters",0,1200
"354","Elizabeth City State",0,1200
"355","Emory & Henry",0,1200
"356","Emporia State",0,1200
"357","Evangel",0,1200
"358","Fairmont State",0,1200
"359","Faulkner",0,1200
"360","Fayetteville State",0,1200
"361","Ferris State",0,1200
"362","Findlay",0,1200
"363","Fort Lewis",0,1200
"364","Fort Valley State",0,1200
"365","Franklin",0,1200
"366","Franklin Pierce",0,1200
"367","Frostburg State",0,1200
"368","Gannon",0,1200
"369","Geneva College",0,1200
"370","Glenville State",0,1200
"371","Grand Valley State",0,1200
"372","Grand View",0,1200
